Date,Barrel_oil_£,Diesel(pence/litre),Diesel dutyrate,diesel vat
2022-06-27,89.04961800000001,198.93,52.95,20.0
2022-06-20,87.742586,194.87,52.95,20.0
2022-06-13,89.609124,190.43,52.95,20.0
2022-06-06,97.959906,184.94,52.95,20.0
2022-05-30,95.155435,182.25,52.95,20.0
2022-05-23,91.181468,181.16,52.95,20.0
2022-05-16,90.651938,179.67,52.95,20.0
2022-05-09,90.082497,178.39,52.95,20.0
2022-05-02,88.946631,177.06,52.95,20.0
2022-04-25,83.249488,176.33,52.95,20.0
2022-04-18,79.492116,175.93,52.95,20.0
2022-04-11,81.88092,176.22,52.95,20.0
2022-04-04,75.38507200000001,176.0,52.95,20.0
2022-03-28,75.683448,176.44,52.95,20.0
2022-03-21,86.40454000000001,177.47,57.95,20.0
2022-03-14,79.43589,169.48,57.95,20.0
2022-03-07,83.845177,158.56,57.95,20.0
2022-02-28,87.44251200000001,153.36,57.95,20.0
2022-02-21,68.307822,151.95,57.95,20.0
2022-02-14,66.991092,151.1,57.95,20.0
2022-02-07,68.63332,150.3,57.95,20.0
2022-01-31,68.21709,149.68,57.95,20.0
2022-01-24,64.75903799999999,148.81,57.95,20.0
2022-01-17,62.799264,148.7,57.95,20.0
2022-01-10,61.28918399999999,148.65,57.95,20.0
2022-01-03,58.046730000000004,148.85,57.95,20.0
2021-12-27,55.572669,148.82,57.95,20.0
2021-12-20,55.11375100000001,148.89,57.95,20.0
2021-12-13,53.513472,149.88,57.95,20.0
2021-12-06,53.989011,150.61,57.95,20.0
2021-11-29,50.06605600000001,151.31,57.95,20.0
2021-11-22,51.085240000000006,150.73,57.95,20.0
2021-11-15,56.55752,149.76,57.95,20.0
2021-11-08,60.212787,148.84,57.95,20.0
2021-11-01,60.196689,147.48,57.95,20.0
2021-10-25,61.02281399999999,145.9,57.95,20.0
2021-10-18,60.89352,143.19,57.95,20.0
2021-10-11,59.825787999999996,140.66,57.95,20.0
2021-10-04,58.282575,139.2,57.95,20.0
2021-09-27,56.007028,137.95,57.95,20.0
2021-09-20,54.094176,137.35,57.95,20.0
2021-09-13,52.358175,137.19,57.95,20.0
2021-09-06,50.365728000000004,137.19,57.95,20.0
2021-08-30,49.965019000000005,137.11,57.95,20.0
2021-08-23,49.953357999999994,137.15,57.95,20.0
2021-08-16,45.74288,136.77,57.95,20.0
2021-08-09,49.352084,137.31,57.95,20.0
2021-08-02,49.209396,136.89,57.95,20.0
2021-07-26,53.18484,136.2,57.95,20.0
2021-07-19,52.430924999999995,135.95,57.95,20.0
2021-07-12,52.148422,135.29,57.95,20.0
2021-07-05,53.63100800000001,134.13,57.95,20.0
2021-06-28,54.333164,134.27,57.95,20.0
2021-06-21,53.353025,133.69,57.95,20.0
2021-06-14,51.86736,133.17,57.95,20.0
2021-06-07,50.261008,132.38,57.95,20.0
2021-05-31,49.17260600000001,131.82,57.95,20.0
2021-05-24,46.73570399999999,131.52,57.95,20.0
2021-05-17,44.931986,131.03,57.95,20.0
2021-05-10,46.36040400000001,130.43,57.95,20.0
2021-05-03,46.435950000000005,130.0,57.95,20.0
2021-04-26,46.012845999999996,129.77,57.95,20.0
2021-04-19,44.778084,129.49,57.95,20.0
