Date,Price
26/06/2022,0.8266
19/06/2022,0.8153
12/06/2022,0.8179
05/06/2022,0.8118
29/05/2022,0.8005
22/05/2022,0.7924
15/05/2022,0.8006
08/05/2022,0.8153
01/05/2022,0.8103
24/04/2022,0.7952
17/04/2022,0.7788
10/04/2022,0.7656
03/04/2022,0.7672
27/03/2022,0.7624
20/03/2022,0.7586
13/03/2022,0.7587
06/03/2022,0.7669
27/02/2022,0.7559
20/02/2022,0.7458
13/02/2022,0.7356
06/02/2022,0.7372
30/01/2022,0.739
23/01/2022,0.7459
16/01/2022,0.7376
09/01/2022,0.7312
02/01/2022,0.7357
26/12/2021,0.7389
19/12/2021,0.7469
12/12/2021,0.7552
05/12/2021,0.7533
28/11/2021,0.7556
21/11/2021,0.7496
14/11/2021,0.7432
07/11/2021,0.7453
31/10/2021,0.7407
24/10/2021,0.7302
17/10/2021,0.727
10/10/2021,0.7271
03/10/2021,0.7345
26/09/2021,0.7381
19/09/2021,0.7312
12/09/2021,0.7275
05/09/2021,0.7224
29/08/2021,0.7211
22/08/2021,0.7267
15/08/2021,0.734
08/08/2021,0.7211
01/08/2021,0.7207
25/07/2021,0.7192
18/07/2021,0.7275
11/07/2021,0.7262
04/07/2021,0.7193
27/06/2021,0.7229
20/06/2021,0.7205
13/06/2021,0.724
06/06/2021,0.7088
30/05/2021,0.7063
23/05/2021,0.7047
16/05/2021,0.7067
09/05/2021,0.7092
02/05/2021,0.7155
25/04/2021,0.7237
18/04/2021,0.7206
11/04/2021,0.7229
04/04/2021,0.7293
28/03/2021,0.7228
21/03/2021,0.7252
14/03/2021,0.7208
07/03/2021,0.718
28/02/2021,0.7223
21/02/2021,0.7176
14/02/2021,0.7134
07/02/2021,0.7223
31/01/2021,0.728
24/01/2021,0.7298
17/01/2021,0.7306
10/01/2021,0.7358
03/01/2021,0.7371
27/12/2020,0.7313
20/12/2020,0.7379
13/12/2020,0.7394
06/12/2020,0.756
29/11/2020,0.7439
22/11/2020,0.7509
15/11/2020,0.7527
08/11/2020,0.7582
01/11/2020,0.7599
25/10/2020,0.7725
18/10/2020,0.7666
11/10/2020,0.7741
04/10/2020,0.7663
27/09/2020,0.7727
20/09/2020,0.7843
13/09/2020,0.7741
06/09/2020,0.7814
30/08/2020,0.7528
23/08/2020,0.7488
16/08/2020,0.7638
09/08/2020,0.7641
02/08/2020,0.766
26/07/2020,0.7641
19/07/2020,0.7817
12/07/2020,0.7957
05/07/2020,0.7922
28/06/2020,0.8009
21/06/2020,0.8107
14/06/2020,0.8092
07/06/2020,0.7973
31/05/2020,0.7896
24/05/2020,0.8099
17/05/2020,0.8214
10/05/2020,0.826
03/05/2020,0.8059
26/04/2020,0.7997
19/04/2020,0.8084
12/04/2020,0.8
05/04/2020,0.803
29/03/2020,0.8156
22/03/2020,0.8027
15/03/2020,0.8589
08/03/2020,0.8144
01/03/2020,0.7663
23/02/2020,0.78
16/02/2020,0.771
09/02/2020,0.7664
02/02/2020,0.7756
26/01/2020,0.7575
19/01/2020,0.7647
12/01/2020,0.7687
05/01/2020,0.7657
29/12/2019,0.7641
22/12/2019,0.7647
15/12/2019,0.769
08/12/2019,0.7504
01/12/2019,0.7612
24/11/2019,0.7732
17/11/2019,0.7793
10/11/2019,0.7752
03/11/2019,0.783
27/10/2019,0.7731
20/10/2019,0.7799
13/10/2019,0.7709
06/10/2019,0.7906
29/09/2019,0.8108
22/09/2019,0.8137
15/09/2019,0.8014
08/09/2019,0.7999
01/09/2019,0.8142
25/08/2019,0.8225
18/08/2019,0.8144
11/08/2019,0.823
04/08/2019,0.8312
28/07/2019,0.8227
21/07/2019,0.8076
14/07/2019,0.7999
07/07/2019,0.7953
30/06/2019,0.7985
23/06/2019,0.7877
16/06/2019,0.7848
09/06/2019,0.7942
02/06/2019,0.7852
26/05/2019,0.7914
19/05/2019,0.7866
12/05/2019,0.7861
05/05/2019,0.7692
28/04/2019,0.7591
21/04/2019,0.7741
14/04/2019,0.7693
07/04/2019,0.7643
31/03/2019,0.767
24/03/2019,0.7673
17/03/2019,0.757
10/03/2019,0.7521
03/03/2019,0.7681
24/02/2019,0.7573
17/02/2019,0.7661
10/02/2019,0.7758
03/02/2019,0.7723
27/01/2019,0.7645
20/01/2019,0.7576
13/01/2019,0.7767
06/01/2019,0.7782
30/12/2018,0.7861
23/12/2018,0.787
16/12/2018,0.7917
09/12/2018,0.7946
02/12/2018,0.7856
25/11/2018,0.7839
18/11/2018,0.7804
11/11/2018,0.7789
04/11/2018,0.7706
28/10/2018,0.7709
21/10/2018,0.7792
14/10/2018,0.765
07/10/2018,0.7601
30/09/2018,0.762
23/09/2018,0.7674
16/09/2018,0.7647
09/09/2018,0.7653
02/09/2018,0.7739
26/08/2018,0.7713
19/08/2018,0.778
12/08/2018,0.7842
05/08/2018,0.7832
29/07/2018,0.7688
22/07/2018,0.7627
15/07/2018,0.7614
08/07/2018,0.7556
01/07/2018,0.7527
24/06/2018,0.7571
17/06/2018,0.7536
10/06/2018,0.7527
03/06/2018,0.7456
27/05/2018,0.7491
20/05/2018,0.7514
13/05/2018,0.7422
06/05/2018,0.7383
29/04/2018,0.7389
22/04/2018,0.7257
15/04/2018,0.714
08/04/2018,0.7022
01/04/2018,0.7096
25/03/2018,0.7134
18/03/2018,0.7076
11/03/2018,0.7174
04/03/2018,0.7221
25/02/2018,0.7244
18/02/2018,0.7159
11/02/2018,0.7121
04/02/2018,0.7227
28/01/2018,0.7081
21/01/2018,0.7057
14/01/2018,0.7219
07/01/2018,0.7284
31/12/2017,0.7369
24/12/2017,0.7399
17/12/2017,0.7483
10/12/2017,0.7507
03/12/2017,0.7468
26/11/2017,0.7422
19/11/2017,0.7498
12/11/2017,0.7568
05/11/2017,0.7581
29/10/2017,0.7648
22/10/2017,0.7617
15/10/2017,0.7582
08/10/2017,0.7527
01/10/2017,0.7653
24/09/2017,0.7464
17/09/2017,0.7411
10/09/2017,0.7357
03/09/2017,0.7577
27/08/2017,0.7722
20/08/2017,0.7759
13/08/2017,0.7766
06/08/2017,0.7685
30/07/2017,0.7671
23/07/2017,0.7613
16/07/2017,0.7695
09/07/2017,0.7636
02/07/2017,0.7757
25/06/2017,0.7677
18/06/2017,0.7863
11/06/2017,0.7827
04/06/2017,0.7846
28/05/2017,0.776
21/05/2017,0.781
14/05/2017,0.7671
07/05/2017,0.7758
30/04/2017,0.7703
23/04/2017,0.7722
16/04/2017,0.7804
09/04/2017,0.7984
02/04/2017,0.8082
26/03/2017,0.7965
19/03/2017,0.8018
12/03/2017,0.8068
05/03/2017,0.8216
26/02/2017,0.8134
19/02/2017,0.8021
12/02/2017,0.8055
05/02/2017,0.8005
29/01/2017,0.8008
22/01/2017,0.7965
15/01/2017,0.8081
08/01/2017,0.8212
01/01/2017,0.8138
25/12/2016,0.8105
18/12/2016,0.8135
11/12/2016,0.8002
04/12/2016,0.7952
27/11/2016,0.7856
20/11/2016,0.8015
13/11/2016,0.81
06/11/2016,0.7935
30/10/2016,0.7988
23/10/2016,0.8206
16/10/2016,0.8173
09/10/2016,0.8206
02/10/2016,0.8043
25/09/2016,0.7706
18/09/2016,0.7708
11/09/2016,0.7692
04/09/2016,0.7538
28/08/2016,0.7523
21/08/2016,0.7612
14/08/2016,0.7648
07/08/2016,0.7738
31/07/2016,0.765
24/07/2016,0.756
17/07/2016,0.7628
10/07/2016,0.758
03/07/2016,0.7719
26/06/2016,0.754
19/06/2016,0.731
12/06/2016,0.6965
05/06/2016,0.7014
29/05/2016,0.6887
22/05/2016,0.6837
15/05/2016,0.6896
08/05/2016,0.6963
01/05/2016,0.693
24/04/2016,0.6843
17/04/2016,0.6944
10/04/2016,0.7045
03/04/2016,0.7079
27/03/2016,0.7029
