Date,Barrel_oil_£,Petrol(pence/litre),Petrol Dutyrate,petrol vat
2022-06-27,89.04961800000001,190.93,52.95,20.0
2022-06-20,87.742586,186.85,52.95,20.0
2022-06-13,89.609124,182.53,52.95,20.0
2022-06-06,97.959906,174.99,52.95,20.0
2022-05-30,95.155435,170.36,52.95,20.0
2022-05-23,91.181468,167.59,52.95,20.0
2022-05-16,90.651938,165.09,52.95,20.0
2022-05-09,90.082497,163.68,52.95,20.0
2022-05-02,88.946631,162.48,52.95,20.0
2022-04-25,83.249488,161.84,52.95,20.0
2022-04-18,79.492116,161.67,52.95,20.0
2022-04-11,81.88092,161.78,52.95,20.0
2022-04-04,75.38507200000001,161.91,52.95,20.0
2022-03-28,75.683448,162.65,52.95,20.0
2022-03-21,86.40454000000001,165.37,57.95,20.0
2022-03-14,79.43589,159.96,57.95,20.0
2022-03-07,83.845177,152.95,57.95,20.0
2022-02-28,87.44251200000001,149.22,57.95,20.0
2022-02-21,68.307822,147.77,57.95,20.0
2022-02-14,66.991092,146.95,57.95,20.0
2022-02-07,68.63332,146.33,57.95,20.0
2022-01-31,68.21709,145.74,57.95,20.0
2022-01-24,64.75903799999999,144.87,57.95,20.0
2022-01-17,62.799264,144.8,57.95,20.0
2022-01-10,61.28918399999999,144.82,57.95,20.0
2022-01-03,58.046730000000004,145.04,57.95,20.0
2021-12-27,55.572669,144.92,57.95,20.0
2021-12-20,55.11375100000001,145.16,57.95,20.0
2021-12-13,53.513472,146.22,57.95,20.0
2021-12-06,53.989011,146.89,57.95,20.0
2021-11-29,50.06605600000001,147.53,57.95,20.0
2021-11-22,51.085240000000006,146.89,57.95,20.0
2021-11-15,56.55752,145.87,57.95,20.0
2021-11-08,60.212787,144.9,57.95,20.0
2021-11-01,60.196689,143.7,57.95,20.0
2021-10-25,61.02281399999999,141.81,57.95,20.0
2021-10-18,60.89352,139.46,57.95,20.0
2021-10-11,59.825787999999996,137.17,57.95,20.0
2021-10-04,58.282575,136.1,57.95,20.0
2021-09-27,56.007028,135.19,57.95,20.0
2021-09-20,54.094176,134.86,57.95,20.0
2021-09-13,52.358175,134.75,57.95,20.0
2021-09-06,50.365728000000004,134.76,57.95,20.0
2021-08-30,49.965019000000005,134.66,57.95,20.0
2021-08-23,49.953357999999994,134.68,57.95,20.0
2021-08-16,45.74288,134.77,57.95,20.0
2021-08-09,49.352084,134.7,57.95,20.0
2021-08-02,49.209396,134.21,57.95,20.0
2021-07-26,53.18484,133.48,57.95,20.0
2021-07-19,52.430924999999995,133.2,57.95,20.0
2021-07-12,52.148422,132.47,57.95,20.0
2021-07-05,53.63100800000001,131.7,57.95,20.0
2021-06-28,54.333164,130.73,57.95,20.0
2021-06-21,53.353025,130.1,57.95,20.0
2021-06-14,51.86736,129.47,57.95,20.0
2021-06-07,50.261008,128.69,57.95,20.0
2021-05-31,49.17260600000001,128.15,57.95,20.0
2021-05-24,46.73570399999999,127.89,57.95,20.0
2021-05-17,44.931986,127.19,57.95,20.0
2021-05-10,46.36040400000001,126.53,57.95,20.0
2021-05-03,46.435950000000005,126.09,57.95,20.0
2021-04-26,46.012845999999996,125.8,57.95,20.0
2021-04-19,44.778084,125.48,57.95,20.0
2021-04-12,45.636677,125.4,57.95,20.0
2021-04-05,43.262076,125.24,57.95,20.0
2021-03-29,44.41606,125.13,57.95,20.0
2021-03-22,44.215444,124.57,57.95,20.0
2021-03-15,44.271536,123.9,57.95,20.0
2021-03-08,47.10798,122.94,57.95,20.0
2021-03-01,47.736807000000006,122.17,57.95,20.0
2021-02-22,44.132400000000004,121.27,57.95,20.0
2021-02-15,42.261816,120.53,57.95,20.0
2021-02-08,42.955181,119.67,57.95,20.0
2021-02-01,41.3868,119.14,57.95,20.0
2021-01-25,38.09556,118.1,57.95,20.0
2021-01-18,38.188462,116.93,57.95,20.0
2021-01-11,38.526488,116.14,57.95,20.0
2021-01-04,38.506104,115.39,57.95,20.0
2020-12-28,35.482676,114.91,57.95,20.0
2020-12-21,35.588916999999995,114.43,57.95,20.0
2020-12-14,36.304539999999996,113.82,57.95,20.0
2020-12-07,35.206920000000004,113.17,57.95,20.0
2020-11-30,34.412814,112.61,57.95,20.0
2020-11-23,34.188477,112.42,57.95,20.0
2020-11-16,31.726305,112.35,57.95,20.0
2020-11-09,30.426566,112.5,57.95,20.0
2020-11-02,28.222686,113.11,57.95,20.0
2020-10-26,27.647775,113.14,57.95,20.0
2020-10-19,30.54901,113.18,57.95,20.0
2020-10-12,31.645208000000004,113.19,57.95,20.0
2020-10-05,31.11178,113.26,57.95,20.0
2020-09-28,28.628535,113.3,57.95,20.0
2020-09-21,31.568075,113.31,57.95,20.0
2020-09-14,31.823251,113.32,57.95,20.0
2020-09-07,29.169662,113.37,57.95,20.0
2020-08-31,29.938856000000005,113.29,57.95,20.0
2020-08-24,32.175936,113.22,57.95,20.0
2020-08-17,32.33929200000001,113.04,57.95,20.0
2020-08-10,32.099841,113.02,57.95,20.0
2020-08-03,31.57452,112.91,57.95,20.0
2020-07-27,30.770307000000003,112.66,57.95,20.0
2020-07-20,32.276393,112.23,57.95,20.0
2020-07-13,32.297463,111.24,57.95,20.0
2020-07-06,32.123709999999996,109.43,57.95,20.0
2020-06-29,32.556585,108.31,57.95,20.0
2020-06-22,31.203843,107.13,57.95,20.0
2020-06-15,32.1657,106.37,57.95,20.0
2020-06-08,28.910097999999998,105.74,57.95,20.0
2020-06-01,31.228679999999997,105.17,57.95,20.0
2020-05-25,28.743351,104.87,57.95,20.0
2020-05-18,27.31155,105.09,57.95,20.0
2020-05-11,24.309179999999998,107.45,57.95,20.0
2020-05-04,19.937965999999996,107.56,57.95,20.0
2020-04-27,15.818066,107.88,57.95,20.0
2020-04-20,13.694296000000001,108.63,57.95,20.0
2020-04-13,14.616,109.27,57.95,20.0
2020-04-06,18.276280000000003,110.23,57.95,20.0
2020-03-30,23.114104,112.45,57.95,20.0
2020-03-23,17.266077,119.64,57.95,20.0
2020-03-16,19.265127,120.33,57.95,20.0
2020-03-09,25.840912,122.24,57.95,20.0
2020-03-02,31.632864,122.43,57.95,20.0
2020-02-24,34.9128,123.45,57.95,20.0
2020-02-17,41.15598,123.8,57.95,20.0
2020-02-10,39.891119999999994,124.73,57.95,20.0
2020-02-03,39.028192,125.85,57.95,20.0
2020-01-27,39.0567,127.33,57.95,20.0
2020-01-20,41.439093,127.18,57.95,20.0
2020-01-13,44.999698,127.17,57.95,20.0
2020-01-06,45.206928000000005,126.09,57.95,20.0
2019-12-30,48.176505,124.96,57.95,20.0
2019-12-23,47.197284,124.16,57.95,20.0
2019-12-16,46.47836,124.33,57.95,20.0
2019-12-09,45.076527999999996,124.75,57.95,20.0
2019-12-02,45.06304,124.81,57.95,20.0
2019-11-25,42.657444,125.32,57.95,20.0
2019-11-18,45.020161,125.58,57.95,20.0
2019-11-11,44.744544,125.59,57.95,20.0
2019-11-04,44.818920000000006,125.56,57.95,20.0
2019-10-28,43.44822,125.77,57.95,20.0
2019-10-21,44.189134,126.4,57.95,20.0
2019-10-14,41.459002000000005,126.91,57.95,20.0
2019-10-07,43.24582,126.87,57.95,20.0
2019-09-30,42.818348,126.92,57.95,20.0
2019-09-23,45.493967,126.78,57.95,20.0
2019-09-16,46.553326000000006,126.92,57.95,20.0
2019-09-09,43.874515,127.79,57.95,20.0
2019-09-02,46.018584000000004,127.86,57.95,20.0
2019-08-26,45.31975,128.22,57.95,20.0
2019-08-19,44.116048,128.17,57.95,20.0
