Date,Date,Price,Open,High,Low,Change %,year,month,,day,string_date
"Jun 26, 2022",26/06/2022,0.8266,0.8154,0.835,0.8109,1.39%,2022,Jun,6,26,26/06/2022
"Jun 19, 2022",19/06/2022,0.8153,0.818,0.8223,0.8113,-0.32%,2022,Jun,6,19,19/06/2022
"Jun 12, 2022",12/06/2022,0.8179,0.8112,0.838,0.8059,0.75%,2022,Jun,6,12,12/06/2022
"Jun 05, 2022",05/06/2022,0.8118,0.8004,0.813,0.7936,1.41%,2022,Jun,6,05,05/06/2022
"May 29, 2022",29/05/2022,0.8005,0.7926,0.8027,0.7898,1.02%,2022,May,5,29,29/05/2022
"May 22, 2022",22/05/2022,0.7924,0.8013,0.8019,0.7894,-1.02%,2022,May,5,22,22/05/2022
"May 15, 2022",15/05/2022,0.8006,0.8173,0.8186,0.7983,-1.80%,2022,May,5,15,15/05/2022
"May 08, 2022",08/05/2022,0.8153,0.8105,0.8227,0.806,0.62%,2022,May,5,08,08/05/2022
"May 01, 2022",01/05/2022,0.8103,0.7944,0.8146,0.7911,1.90%,2022,May,5,01,01/05/2022
"Apr 24, 2022",24/04/2022,0.7952,0.7775,0.8058,0.7775,2.11%,2022,Apr,4,24,24/04/2022
"Apr 17, 2022",17/04/2022,0.7788,0.7657,0.7799,0.7638,1.72%,2022,Apr,4,17,17/04/2022
"Apr 10, 2022",10/04/2022,0.7656,0.7667,0.7709,0.7605,-0.21%,2022,Apr,4,10,10/04/2022
"Apr 03, 2022",03/04/2022,0.7672,0.7625,0.7703,0.7594,0.63%,2022,Apr,4,03,03/04/2022
"Mar 27, 2022",27/03/2022,0.7624,0.7582,0.7663,0.7581,0.50%,2022,Mar,3,27,27/03/2022
"Mar 20, 2022",20/03/2022,0.7586,0.7586,0.7623,0.7519,-0.01%,2022,Mar,3,20,20/03/2022
"Mar 13, 2022",13/03/2022,0.7587,0.767,0.7693,0.7568,-1.07%,2022,Mar,3,13,13/03/2022
"Mar 06, 2022",06/03/2022,0.7669,0.756,0.7677,0.7546,1.46%,2022,Mar,3,06,06/03/2022
"Feb 27, 2022",27/02/2022,0.7559,0.7459,0.7575,0.7441,1.35%,2022,Feb,2,27,27/02/2022
"Feb 20, 2022",20/02/2022,0.7458,0.7356,0.7535,0.7331,1.39%,2022,Feb,2,20,20/02/2022
"Feb 13, 2022",13/02/2022,0.7356,0.7373,0.7416,0.7329,-0.22%,2022,Feb,2,13,13/02/2022
"Feb 06, 2022",06/02/2022,0.7372,0.7391,0.7413,0.7329,-0.24%,2022,Feb,2,06,06/02/2022
"Jan 30, 2022",30/01/2022,0.739,0.7462,0.747,0.7337,-0.93%,2022,Jan,1,30,30/01/2022
"Jan 23, 2022",23/01/2022,0.7459,0.7377,0.7487,0.7372,1.13%,2022,Jan,1,23,23/01/2022
"Jan 16, 2022",16/01/2022,0.7376,0.7313,0.7383,0.7304,0.88%,2022,Jan,1,16,16/01/2022
"Jan 09, 2022",09/01/2022,0.7312,0.7359,0.739,0.7272,-0.61%,2022,Jan,1,09,09/01/2022
"Jan 02, 2022",02/01/2022,0.7357,0.739,0.7446,0.7353,-0.43%,2022,Jan,1,02,02/01/2022
"Dec 26, 2021",26/12/2021,0.7389,0.747,0.747,0.738,-1.07%,2021,Dec,12,26,26/12/2021
"Dec 19, 2021",19/12/2021,0.7469,0.7549,0.7592,0.7441,-1.10%,2021,Dec,12,19,19/12/2021
"Dec 12, 2021",12/12/2021,0.7552,0.7555,0.7592,0.7476,0.25%,2021,Dec,12,12,12/12/2021
"Dec 05, 2021",05/12/2021,0.7533,0.7551,0.7595,0.7523,-0.30%,2021,Dec,12,05,05/12/2021
"Nov 28, 2021",28/11/2021,0.7556,0.7495,0.7579,0.7478,0.80%,2021,Nov,11,28,28/11/2021
"Nov 21, 2021",21/11/2021,0.7496,0.7432,0.7531,0.743,0.86%,2021,Nov,11,21,21/11/2021
"Nov 14, 2021",14/11/2021,0.7432,0.745,0.7465,0.7399,-0.28%,2021,Nov,11,14,14/11/2021
"Nov 07, 2021",07/11/2021,0.7453,0.7408,0.7489,0.7348,0.62%,2021,Nov,11,07,07/11/2021
"Oct 31, 2021",31/10/2021,0.7407,0.7308,0.7449,0.73,1.44%,2021,Oct,10,31,31/10/2021
"Oct 24, 2021",24/10/2021,0.7302,0.727,0.7316,0.723,0.44%,2021,Oct,10,24,24/10/2021
"Oct 17, 2021",17/10/2021,0.727,0.7272,0.7295,0.7228,-0.01%,2021,Oct,10,17,17/10/2021
"Oct 10, 2021",10/10/2021,0.7271,0.7346,0.737,0.726,-1.01%,2021,Oct,10,10,10/10/2021
"Oct 03, 2021",03/10/2021,0.7345,0.7382,0.739,0.7322,-0.49%,2021,Oct,10,03,03/10/2021
"Sep 26, 2021",26/09/2021,0.7381,0.7309,0.7456,0.7283,0.94%,2021,Sep,9,26,26/09/2021
"Sep 19, 2021",19/09/2021,0.7312,0.7275,0.7348,0.727,0.51%,2021,Sep,9,19,19/09/2021
"Sep 12, 2021",12/09/2021,0.7275,0.7224,0.7285,0.7187,0.71%,2021,Sep,9,12,12/09/2021
"Sep 05, 2021",05/09/2021,0.7224,0.7213,0.7286,0.72,0.18%,2021,Sep,9,05,05/09/2021
"Aug 29, 2021",29/08/2021,0.7211,0.7268,0.7283,0.7198,-0.77%,2021,Aug,8,29,29/08/2021
"Aug 22, 2021",22/08/2021,0.7267,0.7335,0.7347,0.7256,-0.99%,2021,Aug,8,22,22/08/2021
"Aug 15, 2021",15/08/2021,0.734,0.7226,0.7352,0.7205,1.79%,2021,Aug,8,15,15/08/2021
"Aug 08, 2021",08/08/2021,0.7211,0.7205,0.7251,0.7196,0.06%,2021,Aug,8,08,08/08/2021
"Aug 01, 2021",01/08/2021,0.7207,0.7194,0.7215,0.7164,0.21%,2021,Aug,8,01,01/08/2021
"Jul 25, 2021",25/07/2021,0.7192,0.7271,0.728,0.7151,-1.14%,2021,Jul,7,25,25/07/2021
"Jul 18, 2021",18/07/2021,0.7275,0.7253,0.7369,0.7253,0.18%,2021,Jul,7,18,18/07/2021
"Jul 11, 2021",11/07/2021,0.7262,0.7193,0.7268,0.7189,0.96%,2021,Jul,7,11,11/07/2021
"Jul 04, 2021",04/07/2021,0.7193,0.7235,0.7278,0.7189,-0.50%,2021,Jul,7,04,04/07/2021
"Jun 27, 2021",27/06/2021,0.7229,0.7203,0.7282,0.7174,0.33%,2021,Jun,6,27,27/06/2021
"Jun 20, 2021",20/06/2021,0.7205,0.7241,0.7254,0.7142,-0.48%,2021,Jun,6,20,20/06/2021
"Jun 13, 2021",13/06/2021,0.724,0.7083,0.7251,0.7075,2.14%,2021,Jun,6,13,13/06/2021
"Jun 06, 2021",06/06/2021,0.7088,0.7057,0.7106,0.7047,0.35%,2021,Jun,6,06,06/06/2021
"May 30, 2021",30/05/2021,0.7063,0.7052,0.7101,0.7018,0.23%,2021,May,5,30,30/05/2021
"May 23, 2021",23/05/2021,0.7047,0.7063,0.7096,0.7032,-0.28%,2021,May,5,23,23/05/2021
"May 16, 2021",16/05/2021,0.7067,0.7097,0.7104,0.7025,-0.35%,2021,May,5,16,16/05/2021
"May 09, 2021",09/05/2021,0.7092,0.7153,0.7154,0.7059,-0.88%,2021,May,5,09,09/05/2021
"May 02, 2021",02/05/2021,0.7155,0.7232,0.7247,0.7139,-1.13%,2021,May,5,02,02/05/2021
"Apr 25, 2021",25/04/2021,0.7237,0.7208,0.7246,0.7154,0.43%,2021,Apr,4,25,25/04/2021
"Apr 18, 2021",18/04/2021,0.7206,0.7232,0.7242,0.7138,-0.32%,2021,Apr,4,18,18/04/2021
"Apr 11, 2021",11/04/2021,0.7229,0.7294,0.7316,0.7223,-0.88%,2021,Apr,4,11,11/04/2021
"Apr 04, 2021",04/04/2021,0.7293,0.7232,0.7315,0.7184,0.90%,2021,Apr,4,04,04/04/2021
"Mar 28, 2021",28/03/2021,0.7228,0.725,0.7297,0.7218,-0.33%,2021,Mar,3,28,28/03/2021
"Mar 21, 2021",21/03/2021,0.7252,0.7212,0.7315,0.7206,0.61%,2021,Mar,3,21,21/03/2021
"Mar 14, 2021",14/03/2021,0.7208,0.7184,0.7242,0.7142,0.39%,2021,Mar,3,14,14/03/2021
"Mar 07, 2021",07/03/2021,0.718,0.7227,0.7247,0.714,-0.60%,2021,Mar,3,07,07/03/2021
"Feb 28, 2021",28/02/2021,0.7223,0.7174,0.7257,0.7134,0.65%,2021,Feb,2,28,28/02/2021
"Feb 21, 2021",21/02/2021,0.7176,0.7135,0.72,0.7024,0.59%,2021,Feb,2,21,21/02/2021
"Feb 14, 2021",14/02/2021,0.7134,0.7222,0.7232,0.7125,-1.23%,2021,Feb,2,14,14/02/2021
"Feb 07, 2021",07/02/2021,0.7223,0.7284,0.731,0.7211,-0.78%,2021,Feb,2,07,07/02/2021
"Jan 31, 2021",31/01/2021,0.728,0.7292,0.7371,0.7268,-0.25%,2021,Jan,1,31,31/01/2021
"Jan 24, 2021",24/01/2021,0.7298,0.731,0.7348,0.7266,-0.11%,2021,Jan,1,24,24/01/2021
"Jan 17, 2021",17/01/2021,0.7306,0.7356,0.7397,0.7275,-0.71%,2021,Jan,1,17,17/01/2021
"Jan 10, 2021",10/01/2021,0.7358,0.7371,0.7434,0.7293,-0.18%,2021,Jan,1,10,10/01/2021
"Jan 03, 2021",03/01/2021,0.7371,0.7318,0.739,0.7297,0.79%,2021,Jan,1,03,03/01/2021
"Dec 27, 2020",27/12/2020,0.7313,0.7382,0.7447,0.7307,-0.89%,2020,Dec,12,27,27/12/2020
"Dec 20, 2020",20/12/2020,0.7379,0.7421,0.7582,0.7342,-0.20%,2020,Dec,12,20,20/12/2020
"Dec 13, 2020",13/12/2020,0.7394,0.753,0.7534,0.7339,-2.20%,2020,Dec,12,13,13/12/2020
"Dec 06, 2020",06/12/2020,0.756,0.7436,0.7613,0.7419,1.63%,2020,Dec,12,06,06/12/2020
"Nov 29, 2020",29/11/2020,0.7439,0.7511,0.7527,0.7385,-0.93%,2020,Nov,11,29,29/11/2020
"Nov 22, 2020",22/11/2020,0.7509,0.7534,0.7539,0.7463,-0.24%,2020,Nov,11,22,22/11/2020
"Nov 15, 2020",15/11/2020,0.7527,0.7588,0.7598,0.7512,-0.73%,2020,Nov,11,15,15/11/2020
"Nov 08, 2020",08/11/2020,0.7582,0.7597,0.7631,0.7513,-0.22%,2020,Nov,11,08,08/11/2020
"Nov 01, 2020",01/11/2020,0.7599,0.7724,0.778,0.7588,-1.63%,2020,Nov,11,01,01/11/2020
"Oct 25, 2020",25/10/2020,0.7725,0.7664,0.7764,0.7645,0.77%,2020,Oct,10,25,25/10/2020
"Oct 18, 2020",18/10/2020,0.7666,0.7743,0.7758,0.7588,-0.97%,2020,Oct,10,18,18/10/2020
"Oct 11, 2020",11/10/2020,0.7741,0.7676,0.7775,0.7643,1.02%,2020,Oct,10,11,11/10/2020
"Oct 04, 2020",04/10/2020,0.7663,0.7732,0.7785,0.7662,-0.83%,2020,Oct,10,04,04/10/2020
"Sep 27, 2020",27/09/2020,0.7727,0.7844,0.7847,0.7704,-1.48%,2020,Sep,9,27,27/09/2020
"Sep 20, 2020",20/09/2020,0.7843,0.7738,0.789,0.7711,1.32%,2020,Sep,9,20,20/09/2020
"Sep 13, 2020",13/09/2020,0.7741,0.7811,0.7828,0.7688,-0.93%,2020,Sep,9,13,13/09/2020
"Sep 06, 2020",06/09/2020,0.7814,0.7534,0.7835,0.7527,3.80%,2020,Sep,9,06,06/09/2020
"Aug 30, 2020",30/08/2020,0.7528,0.75,0.759,0.7416,0.53%,2020,Aug,8,30,30/08/2020
"Aug 23, 2020",23/08/2020,0.7488,0.7642,0.7661,0.7487,-1.96%,2020,Aug,8,23,23/08/2020
"Aug 16, 2020",16/08/2020,0.7638,0.7642,0.7658,0.7537,-0.04%,2020,Aug,8,16,16/08/2020
"Aug 09, 2020",09/08/2020,0.7641,0.7667,0.769,0.7608,-0.25%,2020,Aug,8,09,09/08/2020
"Aug 02, 2020",02/08/2020,0.766,0.7637,0.7704,0.7584,0.25%,2020,Aug,8,02,02/08/2020
"Jul 26, 2020",26/07/2020,0.7641,0.7821,0.7825,0.7592,-2.25%,2020,Jul,7,26,26/07/2020
"Jul 19, 2020",19/07/2020,0.7817,0.7958,0.7989,0.781,-1.76%,2020,Jul,7,19,19/07/2020
"Jul 12, 2020",12/07/2020,0.7957,0.7929,0.8013,0.7894,0.44%,2020,Jul,7,12,12/07/2020
"Jul 05, 2020",05/07/2020,0.7922,0.8009,0.8026,0.7892,-1.09%,2020,Jul,7,05,05/07/2020
"Jun 28, 2020",28/06/2020,0.8009,0.8104,0.8163,0.798,-1.20%,2020,Jun,6,28,28/06/2020
"Jun 21, 2020",21/06/2020,0.8107,0.8094,0.8121,0.7972,0.19%,2020,Jun,6,21,21/06/2020
"Jun 14, 2020",14/06/2020,0.8092,0.798,0.8102,0.7881,1.49%,2020,Jun,6,14,14/06/2020
"Jun 07, 2020",07/06/2020,0.7973,0.7886,0.8017,0.7804,0.98%,2020,Jun,6,07,07/06/2020
"May 31, 2020",31/05/2020,0.7896,0.8105,0.8116,0.7854,-2.51%,2020,May,5,31,31/05/2020
"May 24, 2020",24/05/2020,0.8099,0.8211,0.8221,0.8067,-1.40%,2020,May,5,24,24/05/2020
"May 17, 2020",17/05/2020,0.8214,0.8274,0.8281,0.8132,-0.56%,2020,May,5,17,17/05/2020
"May 10, 2020",10/05/2020,0.826,0.8061,0.8263,0.804,2.51%,2020,May,5,10,10/05/2020
