"Date","Price","Open","High","Low","Change %"
"Jun 26, 2022","0.8266","0.8154","0.8350","0.8109","1.39%"
"Jun 19, 2022","0.8153","0.8180","0.8223","0.8113","-0.32%"
"Jun 12, 2022","0.8179","0.8112","0.8380","0.8059","0.75%"
"Jun 05, 2022","0.8118","0.8004","0.8130","0.7936","1.41%"
"May 29, 2022","0.8005","0.7926","0.8027","0.7898","1.02%"
"May 22, 2022","0.7924","0.8013","0.8019","0.7894","-1.02%"
"May 15, 2022","0.8006","0.8173","0.8186","0.7983","-1.80%"
"May 08, 2022","0.8153","0.8105","0.8227","0.8060","0.62%"
"May 01, 2022","0.8103","0.7944","0.8146","0.7911","1.90%"
"Apr 24, 2022","0.7952","0.7775","0.8058","0.7775","2.11%"
"Apr 17, 2022","0.7788","0.7657","0.7799","0.7638","1.72%"
"Apr 10, 2022","0.7656","0.7667","0.7709","0.7605","-0.21%"
"Apr 03, 2022","0.7672","0.7625","0.7703","0.7594","0.63%"
"Mar 27, 2022","0.7624","0.7582","0.7663","0.7581","0.50%"
"Mar 20, 2022","0.7586","0.7586","0.7623","0.7519","-0.01%"
"Mar 13, 2022","0.7587","0.7670","0.7693","0.7568","-1.07%"
"Mar 06, 2022","0.7669","0.7560","0.7677","0.7546","1.46%"
"Feb 27, 2022","0.7559","0.7459","0.7575","0.7441","1.35%"
"Feb 20, 2022","0.7458","0.7356","0.7535","0.7331","1.39%"
"Feb 13, 2022","0.7356","0.7373","0.7416","0.7329","-0.22%"
"Feb 06, 2022","0.7372","0.7391","0.7413","0.7329","-0.24%"
"Jan 30, 2022","0.7390","0.7462","0.7470","0.7337","-0.93%"
"Jan 23, 2022","0.7459","0.7377","0.7487","0.7372","1.13%"
"Jan 16, 2022","0.7376","0.7313","0.7383","0.7304","0.88%"
"Jan 09, 2022","0.7312","0.7359","0.7390","0.7272","-0.61%"
"Jan 02, 2022","0.7357","0.7390","0.7446","0.7353","-0.43%"
"Dec 26, 2021","0.7389","0.7470","0.7470","0.7380","-1.07%"
"Dec 19, 2021","0.7469","0.7549","0.7592","0.7441","-1.10%"
"Dec 12, 2021","0.7552","0.7555","0.7592","0.7476","0.25%"
"Dec 05, 2021","0.7533","0.7551","0.7595","0.7523","-0.30%"
"Nov 28, 2021","0.7556","0.7495","0.7579","0.7478","0.80%"
"Nov 21, 2021","0.7496","0.7432","0.7531","0.7430","0.86%"
"Nov 14, 2021","0.7432","0.7450","0.7465","0.7399","-0.28%"
"Nov 07, 2021","0.7453","0.7408","0.7489","0.7348","0.62%"
